esn,country,localizedDeviceDescription,deviceDescription,ip,regionCodeDisplayName,ts
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.163,Unknown,2019-07-24 14:12:05.764
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.163,Unknown,2019-07-23 16:36:28.360
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.196.205,Unknown,2019-07-23 12:27:12.247
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.70,Unknown,2019-07-22 13:04:50.598
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.90,Unknown,2019-07-21 17:37:04.563
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.156,Unknown,2019-07-20 07:56:22.020
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.206,Unknown,2019-07-19 12:05:58.492
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.74,Unknown,2019-07-18 17:33:25.361
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.158.156,Unknown,2019-07-17 09:06:29.626
NFCDOP-01-FG2UW7KL94GLQNX79DL0AD2RW1LNXW,NL,Netflix Opera Other,Netflix Opera Other,2001:67c:2660:425:8:0:0:16,Unknown,2019-07-16 19:40:45.758
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.178,Unknown,2019-07-15 14:37:25.250
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.178,Unknown,2019-07-15 07:45:53.797
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.197.226,Unknown,2019-07-14 17:53:57.997
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.197.226,Unknown,2019-07-14 12:36:20.694
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.164,Unknown,2019-07-14 11:08:36.345
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.164,Unknown,2019-07-13 14:09:02.017
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.196.63,Unknown,2019-07-13 13:51:43.525
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.196.35,Unknown,2019-07-13 10:35:05.466
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.140,Unknown,2019-07-12 12:17:19.267
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.140,Unknown,2019-07-11 13:20:50.250
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.223,Unknown,2019-07-10 18:52:05.862
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.223,Unknown,2019-07-10 12:44:51.704
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.249,Unknown,2019-07-08 11:56:42.979
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.196.85,Unknown,2019-07-04 18:03:15.429
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.162,Unknown,2019-07-03 15:13:36.465
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.172,Unknown,2019-07-03 13:29:05.745
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.57,Unknown,2019-07-02 15:08:30.240
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.136,Unknown,2019-07-01 18:30:22.398
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.136,Unknown,2019-07-01 12:29:24.394
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.224,Unknown,2019-06-30 19:36:16.780
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.69,Unknown,2019-06-30 19:31:28.705
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.64,Unknown,2019-06-29 18:21:48.320
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.197.226,Unknown,2019-06-29 15:19:10.304
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.197.226,Unknown,2019-06-29 14:17:44.106
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.64,Unknown,2019-06-29 12:17:32.678
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.244,Unknown,2019-06-28 08:21:33.854
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.244,Unknown,2019-06-27 17:01:09.586
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.109,Unknown,2019-06-27 14:46:44.569
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.197.226,Unknown,2019-06-26 18:38:33.615
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.18,Unknown,2019-06-25 17:16:13.752
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.183.32,Unknown,2019-06-25 15:47:14.785
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.183.32,Unknown,2019-06-25 15:01:34.329
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.183.32,Unknown,2019-06-25 08:23:44.395
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.182.201,Unknown,2019-06-24 17:11:23.325
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.182.201,Unknown,2019-06-24 14:06:28.127
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.182.201,Unknown,2019-06-22 08:23:03.105
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.182.201,Unknown,2019-06-22 08:22:55.454
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.182.201,Unknown,2019-06-22 08:21:54.312
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.18,Unknown,2019-06-21 15:23:18.907
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.182.201,Unknown,2019-06-20 17:54:11.908
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.93,Unknown,2019-06-20 15:48:49.680
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.182.201,Unknown,2019-06-20 14:37:36.835
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.142.9,Unknown,2019-06-19 18:01:23.368
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.93,Unknown,2019-06-19 16:09:10.080
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,102.132.142.9,Unknown,2019-06-16 20:12:25.692
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,102.132.142.9,Unknown,2019-06-16 20:11:54.708
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,102.132.142.9,Unknown,2019-06-16 20:11:27.627
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,102.132.142.9,Unknown,2019-06-14 16:02:29.412
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.142.9,Unknown,2019-06-09 12:58:50.699
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.62,Unknown,2019-06-07 06:25:09.637
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.143,Unknown,2019-06-04 17:22:15.694
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.116,Unknown,2019-06-01 16:15:38.036
NFCDOP-01-FG2UW7KL94GLQNX79DL0AD2RW1LNXW,NL,Netflix Opera Other,Netflix Opera Other,2001:67c:2660:425:7:0:0:752,Unknown,2019-06-01 12:54:42.988
NFCDOP-01-FG2UW7KL94GLQNX79DL0AD2RW1LNXW,NL,Netflix Opera Other,Netflix Opera Other,2001:67c:2660:425:26:0:0:752,Unknown,2019-05-31 18:00:41.123
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.116,Unknown,2019-05-28 16:34:19.018
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.62,Unknown,2019-05-28 12:09:44.487
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.13,Unknown,2019-05-20 14:00:51.134
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.184.236,Unknown,2019-05-17 19:15:22.667
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.13,Unknown,2019-05-17 12:08:32.124
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.137,Unknown,2019-05-15 15:18:08.061
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.227,Unknown,2019-05-15 08:47:27.660
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.227,Unknown,2019-05-07 18:41:52.505
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.254,Unknown,2019-05-07 16:01:21.493
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.184.236,Unknown,2019-05-02 19:12:05.338
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.184.236,Unknown,2019-05-02 12:11:52.722
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.184.236,Unknown,2019-04-27 09:14:26.700
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.184.236,Unknown,2019-04-27 00:58:24.534
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.165.253,Unknown,2019-04-26 13:35:58.541
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.165.253,Unknown,2019-04-25 22:20:40.979
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.165.253,Unknown,2019-04-19 22:41:41.220
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.165.253,Unknown,2019-04-15 16:43:57.696
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.197.199,Unknown,2019-04-14 17:38:58.315
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.197.199,Unknown,2019-04-09 16:13:41.228
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.142.119,Unknown,2019-04-07 07:21:16.055
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.141.128,Unknown,2019-04-06 16:56:30.353
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.141.128,Unknown,2019-04-06 10:50:27.575
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.180.164,Unknown,2019-04-05 22:59:32.561
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.180.164,Unknown,2019-04-04 14:41:27.602
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.180.164,Unknown,2019-04-03 18:02:34.497
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.158.193,Unknown,2019-04-03 14:49:50.660
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.158.193,Unknown,2019-04-01 15:12:35.595
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.193,Unknown,2019-03-31 19:52:06.338
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.193,Unknown,2019-03-29 22:02:21.500
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.140.15,Unknown,2019-03-29 15:30:12.411
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.193,Unknown,2019-03-28 22:20:40.828
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.193,Unknown,2019-03-23 18:23:16.504
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.199.44,Unknown,2019-03-23 15:32:39.868
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.203.154,Unknown,2019-03-23 10:47:35.276
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.203.154,Unknown,2019-03-21 18:25:30.333
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.181.220,Unknown,2019-03-21 08:27:00.784
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.182.205,Unknown,2019-03-19 18:14:17.859
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.186.192,Unknown,2019-03-19 11:51:30.412
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.186.192,Unknown,2019-03-18 17:41:49.914
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.186.192,Unknown,2019-03-17 21:32:01.376
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.165.174,Unknown,2019-03-15 22:29:54.763
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.165.174,Unknown,2019-03-03 12:26:51.079
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.165.174,Unknown,2019-02-24 18:39:09.144
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.195.43,Unknown,2019-02-12 16:08:49.677
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.180.217,Unknown,2019-02-09 13:20:06.800
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.163,Unknown,2019-02-04 07:00:53.889
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.163,Unknown,2019-02-03 09:23:25.983
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.141.103,Unknown,2019-01-26 10:29:11.883
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.141.103,Unknown,2019-01-14 09:28:16.163
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.203.143,Unknown,2019-01-12 17:49:24.565
HISETVD12600000000000000000000000000966633,ZA,Hisense DB MSD6586 4.3 on UHD platform Smart TV,Hisense DB MSD6586 4.3 on UHD platform Smart TV,165.73.58.87,Unknown,2019-01-12 09:51:46.127
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.203.143,Unknown,2019-01-05 04:16:02.731
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.203.143,Unknown,2018-12-23 05:57:46.847
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.195.241,Unknown,2018-12-22 07:26:21.187
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.195.241,Unknown,2018-12-21 15:13:38.871
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.131.213,Unknown,2018-12-20 15:51:31.352
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.131.213,Unknown,2018-12-16 20:22:27.792
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.215,Unknown,2018-12-16 19:22:50.533
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.215,Unknown,2018-12-14 21:08:14.112
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.203.49,Unknown,2018-12-13 17:13:07.669
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.203.80,Unknown,2018-12-13 12:07:50.445
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.95,Unknown,2018-12-11 19:42:51.729
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.95,Unknown,2018-11-28 11:27:48.762
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.194.181,Unknown,2018-11-27 17:11:58.370
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.194.181,Unknown,2018-11-19 09:22:08.735
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.143.115,Unknown,2018-11-18 07:28:33.003
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.143.115,Unknown,2018-11-15 11:18:28.558
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.199.241,Unknown,2018-11-15 09:32:36.915
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.199.241,Unknown,2018-11-09 21:31:17.899
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.199.241,Unknown,2018-11-08 20:19:25.734
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.199.241,Unknown,2018-10-25 18:08:09.551
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.141.201,Unknown,2018-10-24 19:37:16.668
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.141.201,Unknown,2018-10-19 11:13:44.307
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.141.202,Unknown,2018-10-16 16:46:18.679
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.141.202,Unknown,2018-10-13 08:31:38.216
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,169.1.45.100,Unknown,2018-10-11 15:22:08.403
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,169.1.45.100,Unknown,2018-10-11 09:18:06.021
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,165.73.22.164,Unknown,2018-09-30 17:24:22.592
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,165.73.22.164,Unknown,2018-09-23 19:09:19.868
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,165.73.22.164,Unknown,2018-07-22 19:10:14.025
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,165.73.22.164,Unknown,2018-07-19 18:54:12.254
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,165.73.22.164,Unknown,2017-10-18 19:20:48.179
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,165.73.22.164,Unknown,2017-09-24 21:00:27.545
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,169.0.197.12,Unknown,2017-09-12 17:15:45.735
